Original Mass (kg),Optimized Mass (kg),Original Von Mises Stress (MPa),Optimized Von Mises Stress (MPa),Original Deformation (mm),Optimized Deformation (mm),Original FoS,Optimized FoS,Solver
,,,,,,,,PENDING
